原PPT页,点击序号,Beamer步,目标对象ID,原效果,原触发方式,转换方式
2,1,2,2,百叶窗,clickEffect,按步显示
2,2,3,15,百叶窗,clickEffect,按步显示
2,3,4,18,百叶窗,clickEffect,按步显示
3,1,2,34,百叶窗,clickEffect,按步显示
3,2,3,36,百叶窗,clickEffect,按步显示
3,3,4,3,百叶窗,clickEffect,按步显示
3,4,5,8,飞入,clickEffect,按步显示
4,1,2,25,百叶窗,clickEffect,按步显示
4,2,3,24,飞入,clickEffect,按步显示
5,1,2,2,飞入,clickEffect,按步显示
5,2,3,4,飞入,clickEffect,按步显示
6,1,2,9,百叶窗,clickEffect,按步显示
6,2,3,8,百叶窗,clickEffect,按步显示
7,1,2,8,飞入,clickEffect,按步显示
7,2,3,12,飞入,clickEffect,按步显示
8,1,2,8,飞入,clickEffect,按步显示
8,2,3,9,飞入,clickEffect,按步显示
8,3,4,11,飞入,clickEffect,按步显示
8,4,5,12,飞入,clickEffect,按步显示
9,1,2,9,飞入,clickEffect,按步显示
10,1,2,9,缓慢进入,clickEffect,按步显示
10,2,3,13,百叶窗,clickEffect,按步显示
11,1,2,2,飞入,clickEffect,按步显示
12,1,2,12,飞入,clickEffect,按步显示
12,2,3,17,飞入,clickEffect,按步显示
12,3,4,14,飞入,clickEffect,按步显示
13,1,2,25,缓慢进入,clickEffect,按步显示
13,2,3,24,百叶窗,clickEffect,按步显示
13,3,4,5,百叶窗,clickEffect,按步显示
14,1,2,2,飞入,clickEffect,按步显示
14,2,3,10,飞入,clickEffect,按步显示
15,1,2,25,百叶窗,clickEffect,按步显示
15,2,3,24,百叶窗,clickEffect,按步显示
16,1,2,9,缓慢进入,clickEffect,按步显示
16,2,3,2,飞入,clickEffect,按步显示
17,1,2,2,飞入,clickEffect,按步显示
17,2,3,4,飞入,clickEffect,按步显示
18,1,2,10,缓慢进入,clickEffect,按步显示
18,2,3,8,飞入,clickEffect,按步显示
18,3,4,9,飞入,clickEffect,按步显示
19,1,2,2,百叶窗,clickEffect,按步显示
20,1,2,2,飞入,clickEffect,按步显示
20,2,3,4,飞入,clickEffect,按步显示
20,3,4,32,盒状,clickEffect,按步显示
21,1,2,8,飞入,clickEffect,按步显示
21,2,3,10,飞入,clickEffect,按步显示
21,3,4,9,飞入,clickEffect,按步显示
22,1,2,2,飞入,clickEffect,按步显示
22,2,3,10,飞入,clickEffect,按步显示
22,3,4,13,飞入,clickEffect,按步显示
23,1,2,8,飞入,clickEffect,按步显示
23,2,3,9,飞入,clickEffect,按步显示
24,1,2,3,飞入,clickEffect,按步显示
25,1,2,8,飞入,clickEffect,按步显示
25,2,3,9,飞入,clickEffect,按步显示
25,3,4,11,飞入,clickEffect,按步显示
26,1,2,3,飞入,clickEffect,按步显示
26,2,3,4,飞入,clickEffect,按步显示
27,1,2,13,百叶窗,clickEffect,按步显示
