"paper_id","title","status","question_count","review_count","prompt_tokens","completion_tokens","started_at","finished_at"
"2016-全国III卷-文科","2016 年高考数学 全国III卷-文科","complete","24","13","28028","13632","2026-07-15T01:23:03","2026-07-15T01:24:30"
"2016-全国III卷-理科","2016 年高考数学 全国III卷-理科","complete","24","7","29434","14201",,"2026-07-15T01:22:29"
"2016-全国II卷-文科","2016 年高考数学 全国II卷-文科","complete","24","12","27072","7297","2026-07-15T01:25:53","2026-07-15T01:26:46"
"2016-全国II卷-理科","2016 年高考数学 全国II卷-理科","complete","24","3","29314","11157","2026-07-15T01:24:30","2026-07-15T01:25:53"
"2016-全国I卷-文科","2016 年高考数学 全国I卷-文科","complete","24","1","28018","12221","2026-07-15T01:28:18","2026-07-15T01:29:33"
"2016-全国I卷-理科","2016 年高考数学 全国I卷-理科","complete","24","7","31560","14981","2026-07-15T01:26:46","2026-07-15T01:28:18"
"2017-全国III卷-文科","2017 年高考数学 全国III卷-文科","failed",,,,,"2026-07-15T01:31:00","2026-07-15T01:31:49"
"2017-全国III卷-理科","2017 年高考数学 全国III卷-理科","failed",,,,,"2026-07-15T01:29:34","2026-07-15T01:30:59"
"2017-全国II卷-文科","2017 年高考数学 全国II卷-文科","failed",,,,,"2026-07-15T01:32:59","2026-07-15T01:34:06"
"2017-全国II卷-理科","2017 年高考数学 全国II卷-理科","failed",,,,,"2026-07-15T01:31:49","2026-07-15T01:32:59"
"2017-全国I卷-文科","2017 年高考数学 全国I卷-文科","complete","23","5","27960","12923","2026-07-15T01:35:48","2026-07-15T01:37:11"
"2017-全国I卷-理科","2017 年高考数学 全国I卷-理科","complete","23","7","36218","17103","2026-07-15T01:34:06","2026-07-15T01:35:48"
"2018-全国III卷-文科","2018 年高考数学 全国III卷-文科","complete","23","10","24516","11608","2026-07-15T01:38:24","2026-07-15T01:39:42"
"2018-全国III卷-理科","2018 年高考数学 全国III卷-理科","failed",,,,,"2026-07-15T01:37:11","2026-07-15T01:38:24"
