"Year","Paper","Question","Tags","Issue"
"2016","全国III卷-文科","3","向量","原卷中向量坐标缺失, 根据解析版补全为 $(\frac{1}{2},\frac{\sqrt{3}}{2})$ 和 $(\frac{\sqrt{3}}{2},\frac{1}{2})$."
"2016","全国III卷-文科","6","三角函数","原卷选项中分数形式缺失, 根据解析版补全."
"2016","全国III卷-文科","9","三角形、三角函数","原卷中角 $B$ 和 $\sin A$ 表达式缺失, 根据解析版补全."
"2016","全国III卷-文科","14","三角函数","原卷中函数表达式不完整, 根据解析版补全."
"2016","全国II卷-文科","3","三角函数","原卷选项A中为“y=2sin(2x-       )”，空格处根据解析版补全为$\frac{\pi}{6}$，但原卷印刷可能不清。"
"2016","全国II卷-文科","11","三角函数","原卷第11题中“6cos（   ﹣x）”根据解析版补全为$6\cos(\frac{\pi}{2}-x)$。"
"2016","全国II卷-文科","15","三角形、三角函数","原卷中cosC的值被遮挡，根据解析版确认为$\frac{5}{13}$。"
"2016","全国I卷-理科","12","三角函数","原卷中f(x)在区间(\frac{\pi}{18},\frac{5\pi}{36})上单调，解析版中使用了分数，已采用。"
"2017","全国III卷-文科","4","三角函数","原卷中sinα-cosα=后分数未显示，根据解析版确定为4/3。"
"2017","全国III卷-文科","6","三角函数","原卷中f(x)系数1/5未显示，根据解析版确定。"
"2017","全国II卷-理科","10","向量","题图未能自动匹配：原卷第 2 页，直三棱柱及辅助线图。"
"2017","全国II卷-理科","10","向量","题图未能自动匹配：原卷第 2 页，直三棱柱及辅助线图。"
"2017","全国II卷-理科","10","向量","题图未能自动匹配：原卷第 2 页，直三棱柱及辅助线图。"
"2017","全国II卷-理科","12","向量","题图未能自动匹配：原卷第 3 页，等边三角形ABC及坐标系。"
"2017","全国II卷-理科","12","向量","题图未能自动匹配：原卷第 3 页，等边三角形ABC及坐标系。"
"2017","全国II卷-理科","12","向量","题图未能自动匹配：原卷第 3 页，等边三角形ABC及坐标系。"
"2017","全国II卷-文科","3","三角函数","原卷中f(x)=sin(2x+ )缺少相位, 解析版为sin(2x+π/3), 已采用解析版."
"2017","全国I卷-理科","9","三角函数","原卷中 $C_2$ 的表达式 $y=\sin(2x+\frac{2\pi}{3})$ 中的相位 $\frac{2\pi}{3}$ 在原卷中显示为空白，解析版未明确，但根据解析版解答中的 $\sin(2x+\frac{2\pi}{3})$ 确定。"
"2017","全国I卷-理科","17","三角形、三角函数","原卷中面积公式为 $\frac{a^2}{3\sin A}$，解析版没有明确，但根据解答过程确认。"
"2017","全国I卷-文科","8","三角函数","选项为图片，未给出具体函数解析式对应的图象，只提供了描述。"
"2018","全国III卷-理科","15","三角函数","原卷第17页解析中f(x)=cos(3x+  )，根据上下文推断为cos(3x+π/6)"
"2018","全国III卷-文科","4","三角函数","原卷中 $\sin\alpha$ 的值未显示，根据解析版补充为 $\frac{1}{3}$。"
"2018","全国III卷-文科","6","三角函数","原卷中函数 $f(x)=\frac{\tan x}{1+\tan^2 x}$ 的解析式文本层有误，根据解析版修正。"
"2018","全国II卷-文科","7","三角形、三角函数","原卷中 $\cos\frac{C}{2}$ 值缺失，根据解析版补充为 $\frac{\sqrt{5}}{5}$。"
"2018","全国II卷-文科","15","三角函数","原卷中角度显示不全，根据解析版补充为 $\tan(\alpha-\frac{5\pi}{4})$。"
"2018","全国I卷-理科","6","向量、三角形","原卷中向量表达式缺失，根据解析版补充为'\overrightarrow{EB}'。"
"2018","全国I卷-理科","8","向量","原卷中直线斜率为'斜率为 的直线'，根据解析版补充为'斜率为\frac{2}{3}'。"
"2019","全国III卷-理科","12","三角函数","解析版中有的地方出现$\frac{1}{5}\leq wx+\frac{\pi}{5}\leq 2\pi w+\frac{\pi}{5}$，但实际应为$\frac{\pi}{5}\leq \omega x+\frac{\pi}{5}\leq 2\pi \omega+\frac{\pi}{5}$，已修正。"
"2019","全国I卷-理科","5","三角函数","原卷中函数表达式为 $f(x)=\frac{\sin x + x}{\cos x + x^2}$，解析版中为 $f(x)=\frac{\sin x + x}{\cos x + x^2}$，一致。图片描述来自原卷PAGE2。"
"2019","全国I卷-理科","16","向量","题图未能自动匹配：原卷第 4 页，双曲线渐近线示意图"
"2019","全国I卷-文科","5","三角函数","原卷图片题，选项为图像描述，无法提取具体文字内容，使用A、B、C、D代替。"
"2019","全国I卷-文科","5","三角函数","题图未能自动匹配：原卷第 1 页，函数 f(x) 在 [-π,π] 的图像，四个选项均为图片"
"2019","全国I卷-文科","5","三角函数","题图未能自动匹配：原卷第 1 页，函数 f(x) 在 [-π,π] 的图像，四个选项均为图片"
"2019","全国I卷-文科","5","三角函数","题图未能自动匹配：原卷第 1 页，函数 f(x) 在 [-π,π] 的图像，四个选项均为图片"
"2020","全国III卷-文科","12","三角函数","原卷中对称性选项符号有乱码，已根据解析版修正。"
"2020","全国I卷-理科","7","三角函数","原卷图形缺失，解析版根据点坐标推算ω，结果可靠。"
"2020","全国I卷-理科","16","三角函数","原卷图为展开图，解析版给出几何关系，结果一致。"
"2020","全国I卷-文科","7","三角函数","原卷中周期选项为 $\frac{10\pi}{9}$ 等，解析版中周期为 $\frac{4\pi}{3}$, 但解析版解答中提取的 $\omega$ 计算过程与答案一致，选项对应正确。"
"2021","全国甲卷-理科","16","三角函数","原卷解析中分数值 $f(\frac{4\pi}{3})$ 计算可能需核对，但依据解析版答案为2。"
"2021","上海春季卷","12","三角函数","解析中提及“图中阴影部分区域”，但原卷第5页存在相关图示，asset中已添加描述，但无法确认具体图形细节。"
"2021","上海春季卷","12","三角函数","题图未能自动匹配：原卷第 5 页，单位圆中阴影部分区域示意图，其中 $\angle AOx=\angle BOx=\frac{\pi}{6}$"
"2021","上海春季卷","12","三角函数","题图未能自动匹配：原卷第 5 页，单位圆中阴影部分区域示意图，其中 $\angle AOx=\angle BOx=\frac{\pi}{6}$"
"2021","上海春季卷","12","三角函数","题图未能自动匹配：原卷第 5 页，单位圆中阴影部分区域示意图，其中 $\angle AOx=\angle BOx=\frac{\pi}{6}$"
"2021","上海春季卷","12","三角函数","题图未能自动匹配：原卷第 5 页，单位圆中阴影部分区域示意图，其中 $\angle AOx=\angle BOx=\frac{\pi}{6}$"
"2021","上海卷","15","三角函数","选项中的分数可能有误，原卷与解析中选项符号不一致，已按原卷文本层整理"
"2021","天津卷","9","三角函数","解析较长，答案已给出选项A，但解题步骤复杂，仅提供简要分析."
"2021","天津卷","15","向量","原卷中 $|2\overrightarrow{BE}+\overrightarrow{DF}|$ 解析版中括号为 $|2\overrightarrow{BE}+\overrightarrow{DF}|$，已修正."
"2021","新高考II卷","18","三角形、三角函数","原卷中三角形面积公式中的$\sin B$在解析版中改为$\sin C$，但根据题干条件$2\sin C=3\sin A$，应使用$\sin C$计算面积，解析版中使用了$\sin B$，存在矛盾。根据正弦定理，$2c=3a$，解得$a=4$，然后使用余弦定理求$\cos C$，再求$\sin C$，面积应为$\frac{1}{2}ab\sin C$，但解析版中写为$\frac{1}{2}ab\sin B$，可能是笔误。此处按照解析版计算，但面积结果一致，因为$\sin B$与$\sin C$可能相等？实际计算中$\sin B=\frac{3\sqrt{7}}{8}$，$\sin C$也是$\frac{3\sqrt{7}}{8}$，巧合？需要确认。题目中$b=a+1=5,c=a+2=6$，用余弦定理得$\cos C=1/8$，$\sin C=3\sqrt{7}/8$；$\cos B=(a^2+c^2-b^2)/(2ac)=1/2$，$\sin B=\sqrt{3}/2$，并不相等。因此解析版中面积计算使用了$\sin B$是错误的，应使用$\sin C$。但答案数值相同？不可能。重新检查：$b=5,a=4,c=6$，$\cos B=(16+36-25)/(2*4*6)=27/48=9/16$，$\sin B=\sqrt{1-81/256}=\sqrt{175}/16=5\sqrt{7}/16$，$S=1/2*4*5*5\sqrt{7}/16=25\sqrt{7}/8$，不是$15\sqrt{7}/4$。因此解析版中答案$15\sqrt{7}/4$来自$1/2*4*5*3\sqrt{7}/8=15\sqrt{7}/4$，使用$\sin C=3\sqrt{7}/8$。所以解析版中写$\sin B$是笔误，实际上计算用了$\sin C$。此处按正确内容输出，即使用$\sin C$。"
"2021","浙江卷","7","三角函数","函数图象缺失, 答案根据解析版得出."
