"Topic","CollectionNumber","Year","Paper","OriginalQuestion","Occurrence","Type","SecondaryTopics","Reason","Id"
"集合与逻辑","1","2016","全国III卷-理科","1","1","single_choice","","集合交集运算，核心是集合。","2016-全国III卷-理科::1::occ1"
"集合与逻辑","2","2016","全国III卷-文科","1","1","single_choice","","集合补集运算，核心是集合。","2016-全国III卷-文科::1::occ1"
"集合与逻辑","3","2016","全国II卷-理科","2","1","single_choice","","集合的并集运算，核心是集合。","2016-全国II卷-理科::2::occ1"
"集合与逻辑","4","2016","全国II卷-文科","1","1","single_choice","","集合交集运算，核心是集合。","2016-全国II卷-文科::1::occ1"
"集合与逻辑","5","2016","全国I卷-理科","1","1","single_choice","","集合的交集运算，核心是集合。","2016-全国I卷-理科::1::occ1"
"集合与逻辑","6","2016","全国I卷-文科","1","1","single_choice","","集合的交集运算，核心是集合。","2016-全国I卷-文科::1::occ1"
"集合与逻辑","7","2017","全国III卷-理科","1","1","single_choice","","集合的交集运算，核心是集合。","2017-全国III卷-理科::1::occ1"
"集合与逻辑","8","2017","全国III卷-文科","1","1","single_choice","","核心是集合交集运算，属于集合与逻辑。","2017-全国III卷-文科::1::occ1"
"集合与逻辑","9","2017","全国II卷-理科","2","1","single_choice","","核心是集合交集与方程求解，属于集合与逻辑。","2017-全国II卷-理科::2::occ1"
"集合与逻辑","10","2017","全国II卷-文科","1","1","single_choice","","核心是集合并集运算，属于集合与逻辑。","2017-全国II卷-文科::1::occ1"
"集合与逻辑","11","2017","全国I卷-理科","1","1","single_choice","","核心是集合交集与并集运算，属于集合与逻辑。","2017-全国I卷-理科::1::occ1"
"集合与逻辑","12","2017","全国I卷-文科","1","1","single_choice","","集合交集并集运算，属于集合与逻辑。","2017-全国I卷-文科::1::occ1"
"集合与逻辑","13","2018","全国III卷-理科","1","1","single_choice","","集合交集运算，属于集合与逻辑。","2018-全国III卷-理科::1::occ1"
"集合与逻辑","14","2018","全国III卷-文科","1","1","single_choice","","集合交集运算，属于集合与逻辑。","2018-全国III卷-文科::1::occ1"
