"Topic","CollectionNumber","Year","Paper","OriginalQuestion","Occurrence","Type","SecondaryTopics","Reason","Id"
"一元二次函数、方程和不等式","1","2016","全国III卷-理科","13","1","fill_blank","","线性规划求最大值，核心是不等式中的线性规划。","2016-全国III卷-理科::13::occ1"
"一元二次函数、方程和不等式","2","2016","全国III卷-理科","24","1","solution","","绝对值不等式求解及恒成立，核心是不等式。","2016-全国III卷-理科::24::occ1"
"一元二次函数、方程和不等式","3","2016","全国III卷-文科","13","1","fill_blank","","线性规划求最小值，核心是不等式中的线性规划。","2016-全国III卷-文科::13::occ1"
"一元二次函数、方程和不等式","4","2016","全国III卷-文科","24","1","solution","","绝对值不等式求解及恒成立问题，核心是不等式解法。","2016-全国III卷-文科::24::occ1"
"一元二次函数、方程和不等式","5","2016","全国II卷-理科","24","1","solution","","绝对值不等式求解及证明，核心是不等式。","2016-全国II卷-理科::24::occ1"
"一元二次函数、方程和不等式","6","2016","全国II卷-文科","14","1","fill_blank","","线性规划求最值，核心是不等式。","2016-全国II卷-文科::14::occ1"
"一元二次函数、方程和不等式","7","2016","全国II卷-文科","24","1","solution","","绝对值不等式求解及证明，核心是不等式。","2016-全国II卷-文科::24::occ1"
"一元二次函数、方程和不等式","8","2016","全国I卷-理科","16","1","fill_blank","","线性规划求利润最大值，核心是不等式。","2016-全国I卷-理科::16::occ1"
"一元二次函数、方程和不等式","9","2016","全国I卷-理科","24","1","solution","","绝对值不等式，画图求解集，核心是不等式。","2016-全国I卷-理科::24::occ1"
"一元二次函数、方程和不等式","10","2016","全国I卷-文科","16","1","fill_blank","","线性规划求利润最大值，核心是不等式。","2016-全国I卷-文科::16::occ1"
"一元二次函数、方程和不等式","11","2016","全国I卷-文科","24","1","solution","","绝对值不等式画图求解，核心是不等式。","2016-全国I卷-文科::24::occ1"
"一元二次函数、方程和不等式","12","2017","全国III卷-理科","13","1","fill_blank","","线性规划求最值，核心是不等式。","2017-全国III卷-理科::13::occ1"
"一元二次函数、方程和不等式","13","2017","全国III卷-理科","23","1","solution","","核心是绝对值不等式求解及参数范围，属于不等式选讲。","2017-全国III卷-理科::23::occ1"
"一元二次函数、方程和不等式","14","2017","全国III卷-文科","5","1","single_choice","","核心是线性规划求范围，属于不等式。","2017-全国III卷-文科::5::occ1"
"一元二次函数、方程和不等式","15","2017","全国III卷-文科","23","1","solution","","核心是绝对值不等式求解及参数范围，属于不等式选讲。","2017-全国III卷-文科::23::occ1"
"一元二次函数、方程和不等式","16","2017","全国II卷-理科","5","1","single_choice","","核心是线性规划求最值，属于不等式。","2017-全国II卷-理科::5::occ1"
"一元二次函数、方程和不等式","17","2017","全国II卷-理科","23","1","solution","","核心是不等式证明，属于不等式选讲。","2017-全国II卷-理科::23::occ1"
"一元二次函数、方程和不等式","18","2017","全国II卷-文科","7","1","single_choice","","核心是线性规划求最值，属于不等式。","2017-全国II卷-文科::7::occ1"
"一元二次函数、方程和不等式","19","2017","全国II卷-文科","23","1","solution","","核心是不等式证明，属于不等式选讲，主类归不等式。","2017-全国II卷-文科::23::occ1"
"一元二次函数、方程和不等式","20","2017","全国I卷-理科","14","1","fill_blank","","线性规划求最小值，属于不等式。","2017-全国I卷-理科::14::occ1"
"一元二次函数、方程和不等式","21","2017","全国I卷-理科","23","1","solution","","绝对值不等式与二次不等式综合，属于不等式。","2017-全国I卷-理科::23::occ1"
"一元二次函数、方程和不等式","22","2017","全国I卷-文科","7","1","single_choice","","线性规划求最大值，属于不等式。","2017-全国I卷-文科::7::occ1"
"一元二次函数、方程和不等式","23","2017","全国I卷-文科","23","1","solution","","绝对值不等式与二次不等式综合，属于不等式。","2017-全国I卷-文科::23::occ1"
"一元二次函数、方程和不等式","24","2018","全国III卷-理科","23","1","solution","","绝对值不等式，属于不等式专题。","2018-全国III卷-理科::23::occ1"
"一元二次函数、方程和不等式","25","2018","全国III卷-文科","15","1","fill_blank","","线性规划求最大值，属于不等式专题。","2018-全国III卷-文科::15::occ1"
"一元二次函数、方程和不等式","26","2018","全国III卷-文科","23","1","solution","","核心是绝对值不等式图象及参数最值。","2018-全国III卷-文科::23::occ1"
"一元二次函数、方程和不等式","27","2018","全国II卷-理科","14","1","fill_blank","","核心是线性规划求最大值。","2018-全国II卷-理科::14::occ1"
"一元二次函数、方程和不等式","28","2018","全国II卷-理科","23","1","solution","","核心是绝对值不等式求解及参数范围。","2018-全国II卷-理科::23::occ1"
"一元二次函数、方程和不等式","29","2018","全国II卷-文科","14","1","fill_blank","","核心是线性规划求最大值。","2018-全国II卷-文科::14::occ1"
"一元二次函数、方程和不等式","30","2018","全国II卷-文科","23","1","solution","","核心是绝对值不等式求解及参数范围。","2018-全国II卷-文科::23::occ1"
"一元二次函数、方程和不等式","31","2018","全国I卷-理科","13","1","fill_blank","","核心是线性规划求最大值。","2018-全国I卷-理科::13::occ1"
"一元二次函数、方程和不等式","32","2018","全国I卷-理科","23","1","solution","","核心是绝对值不等式求解及参数范围，属于不等式专题。","2018-全国I卷-理科::23::occ1"
"一元二次函数、方程和不等式","33","2018","全国I卷-文科","14","1","fill_blank","","线性规划问题，属于不等式专题。","2018-全国I卷-文科::14::occ1"
"一元二次函数、方程和不等式","34","2018","全国I卷-文科","23","1","solution","","绝对值不等式求解与参数范围，属于不等式专题。","2018-全国I卷-文科::23::occ1"
"一元二次函数、方程和不等式","35","2019","全国III卷-理科","23","1","solution","","不等式证明与最值，属于不等式专题。","2019-全国III卷-理科::23::occ1"
"一元二次函数、方程和不等式","36","2019","全国III卷-文科","23","1","solution","","不等式证明与最值，属于不等式专题。","2019-全国III卷-文科::23::occ1"
"一元二次函数、方程和不等式","37","2019","全国II卷-理科","6","1","single_choice","","不等式性质与比较大小，属于不等式专题。","2019-全国II卷-理科::6::occ1"
"一元二次函数、方程和不等式","38","2019","全国II卷-理科","23","1","solution","","绝对值不等式求解，属于不等式选讲。","2019-全国II卷-理科::23::occ1"
"一元二次函数、方程和不等式","39","2019","全国II卷-文科","13","1","fill_blank","","线性规划求最值，属于不等式。","2019-全国II卷-文科::13::occ1"
"一元二次函数、方程和不等式","40","2019","全国II卷-文科","23","1","solution","","绝对值不等式求解，属于不等式选讲。","2019-全国II卷-文科::23::occ1"
"一元二次函数、方程和不等式","41","2019","全国I卷-理科","23","1","solution","","不等式证明，核心是不等式性质与基本不等式。","2019-全国I卷-理科::23::occ1"
"一元二次函数、方程和不等式","42","2019","全国I卷-文科","23","1","solution","","不等式证明，核心是不等式性质与基本不等式。","2019-全国I卷-文科::23::occ1"
"一元二次函数、方程和不等式","43","2020","全国III卷-理科","13","1","fill_blank","","线性规划求最值。","2020-全国III卷-理科::13::occ1"
"一元二次函数、方程和不等式","44","2020","全国III卷-理科","23","1","solution","","不等式证明，属于不等式选讲。","2020-全国III卷-理科::23::occ1"
"一元二次函数、方程和不等式","45","2020","全国III卷-文科","13","1","fill_blank","","线性规划求最值，属于不等式专题。","2020-全国III卷-文科::13::occ1"
"一元二次函数、方程和不等式","46","2020","全国III卷-文科","23","1","solution","","不等式证明。","2020-全国III卷-文科::23::occ1"
"一元二次函数、方程和不等式","47","2020","全国II卷-理科","23","1","solution","","绝对值不等式求解及参数范围，属于不等式。","2020-全国II卷-理科::23::occ1"
"一元二次函数、方程和不等式","48","2020","全国II卷-文科","15","1","fill_blank","","核心是线性规划求最大值。","2020-全国II卷-文科::15::occ1"
"一元二次函数、方程和不等式","49","2020","全国II卷-文科","23","1","solution","","核心是绝对值不等式求解。","2020-全国II卷-文科::23::occ1"
"一元二次函数、方程和不等式","50","2020","全国I卷-理科","13","1","fill_blank","","核心是线性规划求最大值。","2020-全国I卷-理科::13::occ1"
"一元二次函数、方程和不等式","51","2020","全国I卷-理科","23","1","solution","","核心是绝对值不等式，画图求解。","2020-全国I卷-理科::23::occ1"
"一元二次函数、方程和不等式","52","2020","全国I卷-文科","13","1","fill_blank","","核心是线性规划求最大值。","2020-全国I卷-文科::13::occ1"
"一元二次函数、方程和不等式","53","2020","全国I卷-文科","23","1","solution","","核心是绝对值不等式，画图求解。","2020-全国I卷-文科::23::occ1"
"一元二次函数、方程和不等式","54","2021","全国甲卷-理科","23","1","solution","","绝对值不等式，属于不等式。","2021-全国甲卷-理科::23::occ1"
"一元二次函数、方程和不等式","55","2021","全国甲卷-文科","23","1","solution","","绝对值不等式，属于不等式。","2021-全国甲卷-文科::23::occ1"
"一元二次函数、方程和不等式","56","2021","全国乙卷-理科","23","1","solution","","绝对值不等式求解及恒成立问题，属于不等式。","2021-全国乙卷-理科::23::occ1"
"一元二次函数、方程和不等式","57","2021","全国乙卷-文科","5","1","single_choice","","线性规划求最小值，属于不等式。","2021-全国乙卷-文科::5::occ1"
"一元二次函数、方程和不等式","58","2021","全国乙卷-文科","8","1","single_choice","","主要利用基本不等式求函数最小值，属于不等式专题。","2021-全国乙卷-文科::8::occ1"
"一元二次函数、方程和不等式","59","2021","全国乙卷-文科","23","1","solution","","绝对值不等式求解，主类为不等式。","2021-全国乙卷-文科::23::occ1"
"一元二次函数、方程和不等式","60","2021","上海春季卷","4","1","fill_blank","","分式不等式求解，主类为不等式。","2021-上海春季卷::4::occ1"
"一元二次函数、方程和不等式","61","2021","上海春季卷","6","1","fill_blank","","方程组无解条件，主类为不等式（线性规划基础）。","2021-上海春季卷::6::occ1"
