"Topic","CollectionNumber","Year","Paper","OriginalQuestion","Occurrence","Type","SecondaryTopics","Reason","Id"
"函数","1","2016","全国III卷-理科","6","1","single_choice","","比较指数幂大小，核心是指数函数性质。","2016-全国III卷-理科::6::occ1"
"函数","2","2016","全国III卷-文科","7","1","single_choice","","比较指数幂大小，核心是指数函数性质。","2016-全国III卷-文科::7::occ1"
"函数","3","2016","全国II卷-理科","12","1","single_choice","","函数对称性与交点求和，核心是函数性质。","2016-全国II卷-理科::12::occ1"
"函数","4","2016","全国II卷-文科","10","1","single_choice","","函数定义域和值域，核心是函数。","2016-全国II卷-文科::10::occ1"
"函数","5","2016","全国II卷-文科","12","1","single_choice","","函数对称性与交点横坐标和，核心是函数性质。","2016-全国II卷-文科::12::occ1"
"函数","6","2016","全国I卷-理科","7","1","single_choice","","函数图象识别，核心是函数。","2016-全国I卷-理科::7::occ1"
"函数","7","2016","全国I卷-理科","8","1","single_choice","","比较大小，利用指数对数函数单调性，核心是函数。","2016-全国I卷-理科::8::occ1"
"函数","8","2016","全国I卷-文科","8","1","single_choice","","比较大小，利用指数对数函数单调性，核心是函数。","2016-全国I卷-文科::8::occ1"
"函数","9","2016","全国I卷-文科","9","1","single_choice","","函数图象识别，核心是函数。","2016-全国I卷-文科::9::occ1"
"函数","10","2017","全国III卷-理科","15","1","fill_blank","","分段函数不等式求解，核心是函数性质。","2017-全国III卷-理科::15::occ1"
"函数","11","2017","全国III卷-文科","7","1","single_choice","","核心是函数图象识别，涉及奇偶性等，属于函数。","2017-全国III卷-文科::7::occ1"
"函数","12","2017","全国III卷-文科","12","1","single_choice","","核心是函数零点问题，涉及指数函数，属于函数。","2017-全国III卷-文科::12::occ1"
"函数","13","2017","全国III卷-文科","16","1","fill_blank","","核心是分段函数不等式求解，属于函数。","2017-全国III卷-文科::16::occ1"
"函数","14","2017","全国II卷-文科","8","1","single_choice","","核心是复合函数单调区间，涉及对数函数定义域，属于函数。","2017-全国II卷-文科::8::occ1"
"函数","15","2017","全国II卷-文科","14","1","fill_blank","","核心是奇函数性质求函数值，属于函数。","2017-全国II卷-文科::14::occ1"
"函数","16","2017","全国I卷-理科","5","1","single_choice","","利用函数奇偶性和单调性解不等式，属于函数。","2017-全国I卷-理科::5::occ1"
"函数","17","2017","全国I卷-理科","11","1","single_choice","","比较指数式大小，核心是指数函数性质。","2017-全国I卷-理科::11::occ1"
"函数","18","2017","全国I卷-文科","9","1","single_choice","","对数函数性质，单调性和对称性，属于函数。","2017-全国I卷-文科::9::occ1"
"函数","19","2018","全国III卷-理科","7","1","single_choice","","函数图象识别，核心是函数性质。","2018-全国III卷-理科::7::occ1"
