"Topic","CollectionNumber","Year","Paper","OriginalQuestion","Occurrence","Type","SecondaryTopics","Reason","Id"
"三角函数","1","2016","全国III卷-理科","5","1","single_choice","","利用正切求三角函数值，核心是三角函数恒等变换。","2016-全国III卷-理科::5::occ1"
"三角函数","2","2016","全国III卷-理科","14","1","fill_blank","","三角函数图象平移，核心是三角函数。","2016-全国III卷-理科::14::occ1"
"三角函数","3","2016","全国III卷-理科","21","1","solution","导数","函数含三角函数，求导后求最大值并证明不等式，核心是三角函数性质，导数作为工具。","2016-全国III卷-理科::21::occ1"
"三角函数","4","2016","全国III卷-文科","6","1","single_choice","","利用正切求二倍角余弦，核心是三角函数恒等变换。","2016-全国III卷-文科::6::occ1"
"三角函数","5","2016","全国III卷-文科","14","1","fill_blank","","三角函数图象平移，核心是三角函数。","2016-全国III卷-文科::14::occ1"
"三角函数","6","2016","全国II卷-理科","7","1","single_choice","","三角函数图象平移与对称轴，核心是三角函数。","2016-全国II卷-理科::7::occ1"
"三角函数","7","2016","全国II卷-理科","9","1","single_choice","","利用诱导公式求二倍角正弦，核心是三角函数恒等变换。","2016-全国II卷-理科::9::occ1"
"三角函数","8","2016","全国II卷-文科","3","1","single_choice","","由图象求三角函数解析式，核心是三角函数。","2016-全国II卷-文科::3::occ1"
"三角函数","9","2016","全国II卷-文科","11","1","single_choice","","三角函数化简求最值，核心是三角函数。","2016-全国II卷-文科::11::occ1"
"三角函数","10","2016","全国I卷-理科","12","1","single_choice","","根据正弦函数的零点、对称轴和单调性求参数，核心是三角函数。","2016-全国I卷-理科::12::occ1"
"三角函数","11","2016","全国I卷-文科","6","1","single_choice","","三角函数图象平移变换，核心是三角函数。","2016-全国I卷-文科::6::occ1"
"三角函数","12","2016","全国I卷-文科","14","1","fill_blank","","三角恒等变换求值，核心是三角函数。","2016-全国I卷-文科::14::occ1"
"三角函数","13","2017","全国III卷-理科","6","1","single_choice","","余弦函数的性质，核心是三角函数。","2017-全国III卷-理科::6::occ1"
"三角函数","14","2017","全国III卷-文科","4","1","single_choice","","核心是三角恒等变换求二倍角正弦，属于三角函数。","2017-全国III卷-文科::4::occ1"
"三角函数","15","2017","全国III卷-文科","6","1","single_choice","","核心是三角函数化简求最值，属于三角函数。","2017-全国III卷-文科::6::occ1"
"三角函数","16","2017","全国II卷-理科","14","1","fill_blank","","核心是三角函数最值，属于三角函数。","2017-全国II卷-理科::14::occ1"
"三角函数","17","2017","全国II卷-文科","3","1","single_choice","","核心是正弦函数最小正周期，属于三角函数。","2017-全国II卷-文科::3::occ1"
"三角函数","18","2017","全国II卷-文科","13","1","fill_blank","","核心是三角函数最值，属于三角函数。","2017-全国II卷-文科::13::occ1"
"三角函数","19","2017","全国I卷-理科","9","1","single_choice","","三角函数图象变换，属于三角函数。","2017-全国I卷-理科::9::occ1"
"三角函数","20","2017","全国I卷-文科","8","1","single_choice","","函数图象识别，核心是三角函数。","2017-全国I卷-文科::8::occ1"
"三角函数","21","2017","全国I卷-文科","15","1","fill_blank","","三角恒等变换求值，属于三角函数。","2017-全国I卷-文科::15::occ1"
"三角函数","22","2018","全国III卷-理科","4","1","single_choice","","二倍角公式求值，属于三角函数。","2018-全国III卷-理科::4::occ1"
"三角函数","23","2018","全国III卷-理科","15","1","fill_blank","","余弦函数零点个数，属于三角函数。","2018-全国III卷-理科::15::occ1"
"三角函数","24","2018","全国III卷-文科","4","1","single_choice","","二倍角公式求值，属于三角函数。","2018-全国III卷-文科::4::occ1"
"三角函数","25","2018","全国III卷-文科","6","1","single_choice","","求三角函数最小正周期，属于三角函数。","2018-全国III卷-文科::6::occ1"
"三角函数","26","2018","全国II卷-理科","10","1","single_choice","","核心是三角函数单调性求参数最大值。","2018-全国II卷-理科::10::occ1"
"三角函数","27","2018","全国II卷-理科","15","1","fill_blank","","核心是三角恒等变换求正弦和。","2018-全国II卷-理科::15::occ1"
"三角函数","28","2018","全国II卷-文科","10","1","single_choice","","核心是三角函数单调性求参数最大值。","2018-全国II卷-文科::10::occ1"
"三角函数","29","2018","全国II卷-文科","15","1","fill_blank","","核心是已知正切差求正切，属于三角恒等变换。","2018-全国II卷-文科::15::occ1"
"三角函数","30","2018","全国I卷-理科","16","1","fill_blank","","核心是三角函数最值，利用导数或三角恒等变换。","2018-全国I卷-理科::16::occ1"
"三角函数","31","2018","全国I卷-文科","8","1","single_choice","","三角恒等变换与周期最值，属于三角函数。","2018-全国I卷-文科::8::occ1"
"三角函数","32","2018","全国I卷-文科","11","1","single_choice","","三角恒等变换求值，属于三角函数。","2018-全国I卷-文科::11::occ1"
"三角函数","33","2019","全国III卷-理科","12","1","single_choice","","正弦函数零点与极值点，属于三角函数。","2019-全国III卷-理科::12::occ1"
"三角函数","34","2019","全国III卷-文科","5","1","single_choice","","三角函数零点个数，属于三角函数。","2019-全国III卷-文科::5::occ1"
"三角函数","35","2019","全国II卷-理科","9","1","single_choice","","三角函数的周期与单调性，属于三角函数。","2019-全国II卷-理科::9::occ1"
"三角函数","36","2019","全国II卷-理科","10","1","single_choice","","三角恒等变换求值，属于三角函数。","2019-全国II卷-理科::10::occ1"
"三角函数","37","2019","全国II卷-文科","8","1","single_choice","","由极值点求三角函数周期，核心是三角函数。","2019-全国II卷-文科::8::occ1"
