"Topic","CollectionNumber","Year","Paper","OriginalQuestion","Occurrence","Type","SecondaryTopics","Reason","Id"
"平面向量与解三角形","1","2016","全国III卷-理科","3","1","single_choice","","向量夹角计算，核心是平面向量。","2016-全国III卷-理科::3::occ1"
"平面向量与解三角形","2","2016","全国III卷-理科","8","1","single_choice","","解三角形求余弦值，核心是解三角形。","2016-全国III卷-理科::8::occ1"
"平面向量与解三角形","3","2016","全国III卷-文科","3","1","single_choice","","向量夹角计算，核心是平面向量。","2016-全国III卷-文科::3::occ1"
"平面向量与解三角形","4","2016","全国III卷-文科","9","1","single_choice","","解三角形求正弦值，核心是解三角形。","2016-全国III卷-文科::9::occ1"
"平面向量与解三角形","5","2016","全国II卷-理科","3","1","single_choice","","向量垂直的坐标运算，核心是平面向量。","2016-全国II卷-理科::3::occ1"
"平面向量与解三角形","6","2016","全国II卷-理科","13","1","fill_blank","","解三角形求边，核心是解三角形。","2016-全国II卷-理科::13::occ1"
"平面向量与解三角形","7","2016","全国II卷-文科","13","1","fill_blank","","向量平行的坐标运算，核心是平面向量。","2016-全国II卷-文科::13::occ1"
"平面向量与解三角形","8","2016","全国II卷-文科","15","1","fill_blank","","利用正弦定理和余弦定理解三角形，核心是解三角形。","2016-全国II卷-文科::15::occ1"
"平面向量与解三角形","9","2016","全国I卷-理科","13","1","fill_blank","","向量垂直的坐标运算，核心是平面向量。","2016-全国I卷-理科::13::occ1"
"平面向量与解三角形","10","2016","全国I卷-理科","17","1","solution","","利用正弦定理、余弦定理解三角形，核心是解三角形。","2016-全国I卷-理科::17::occ1"
"平面向量与解三角形","11","2016","全国I卷-文科","4","1","single_choice","","利用余弦定理解三角形，核心是解三角形。","2016-全国I卷-文科::4::occ1"
"平面向量与解三角形","12","2016","全国I卷-文科","13","1","fill_blank","","向量垂直的坐标运算，核心是平面向量。","2016-全国I卷-文科::13::occ1"
"平面向量与解三角形","13","2017","全国III卷-理科","12","1","single_choice","","向量线性表示与最值，核心是平面向量。","2017-全国III卷-理科::12::occ1"
"平面向量与解三角形","14","2017","全国III卷-理科","17","1","solution","","核心是解三角形，涉及正弦定理、余弦定理和面积公式。","2017-全国III卷-理科::17::occ1"
"平面向量与解三角形","15","2017","全国III卷-文科","13","1","fill_blank","","核心是向量垂直的坐标运算，属于平面向量。","2017-全国III卷-文科::13::occ1"
"平面向量与解三角形","16","2017","全国III卷-文科","15","1","fill_blank","","核心是解三角形，已知边角求角，属于解三角形。","2017-全国III卷-文科::15::occ1"
"平面向量与解三角形","17","2017","全国II卷-理科","12","1","single_choice","","核心是向量数量积的最值问题，属于平面向量。","2017-全国II卷-理科::12::occ1"
"平面向量与解三角形","18","2017","全国II卷-理科","17","1","solution","","核心是解三角形，涉及正弦定理、余弦定理和面积公式。","2017-全国II卷-理科::17::occ1"
"平面向量与解三角形","19","2017","全国II卷-文科","4","1","single_choice","","核心是向量模长与垂直关系，属于平面向量。","2017-全国II卷-文科::4::occ1"
"平面向量与解三角形","20","2017","全国II卷-文科","16","1","fill_blank","","核心是解三角形求角，属于解三角形。","2017-全国II卷-文科::16::occ1"
"平面向量与解三角形","21","2017","全国I卷-理科","13","1","fill_blank","","向量模长计算，属于平面向量。","2017-全国I卷-理科::13::occ1"
"平面向量与解三角形","22","2017","全国I卷-理科","17","1","solution","","解三角形求周长，核心是正弦定理和面积公式。","2017-全国I卷-理科::17::occ1"
"平面向量与解三角形","23","2017","全国I卷-文科","11","1","single_choice","","利用正弦定理和三角恒等变换求角，属于解三角形。","2017-全国I卷-文科::11::occ1"
"平面向量与解三角形","24","2017","全国I卷-文科","13","1","fill_blank","","向量垂直求参数，属于平面向量。","2017-全国I卷-文科::13::occ1"
"平面向量与解三角形","25","2018","全国III卷-理科","9","1","single_choice","","利用三角形面积公式和余弦定理求角，属于解三角形。","2018-全国III卷-理科::9::occ1"
"平面向量与解三角形","26","2018","全国III卷-理科","13","1","fill_blank","","向量平行条件求参数，属于平面向量。","2018-全国III卷-理科::13::occ1"
"平面向量与解三角形","27","2018","全国III卷-文科","11","1","single_choice","","利用三角形面积公式和余弦定理求角，属于解三角形。","2018-全国III卷-文科::11::occ1"
"平面向量与解三角形","28","2018","全国III卷-文科","13","1","fill_blank","","向量平行求参数，属于平面向量。","2018-全国III卷-文科::13::occ1"
"平面向量与解三角形","29","2018","全国II卷-理科","4","1","single_choice","","核心是向量数量积运算。","2018-全国II卷-理科::4::occ1"
"平面向量与解三角形","30","2018","全国II卷-理科","6","1","single_choice","","核心是解三角形，使用余弦定理求边。","2018-全国II卷-理科::6::occ1"
"平面向量与解三角形","31","2018","全国II卷-文科","4","1","single_choice","","核心是向量数量积运算。","2018-全国II卷-文科::4::occ1"
"平面向量与解三角形","32","2018","全国II卷-文科","7","1","single_choice","","核心是解三角形，使用余弦定理求边。","2018-全国II卷-文科::7::occ1"
"平面向量与解三角形","33","2018","全国I卷-理科","6","1","single_choice","","核心是向量线性运算。","2018-全国I卷-理科::6::occ1"
"平面向量与解三角形","34","2018","全国I卷-理科","17","1","solution","","核心是解三角形，求角及边。","2018-全国I卷-理科::17::occ1"
"平面向量与解三角形","35","2018","全国I卷-文科","7","1","single_choice","","向量线性运算，属于平面向量。","2018-全国I卷-文科::7::occ1"
"平面向量与解三角形","36","2018","全国I卷-文科","16","1","fill_blank","","解三角形求面积，属于解三角形。","2018-全国I卷-文科::16::occ1"
"平面向量与解三角形","37","2019","全国III卷-理科","13","1","fill_blank","","向量数量积与夹角，属于平面向量。","2019-全国III卷-理科::13::occ1"
"平面向量与解三角形","38","2019","全国III卷-理科","18","1","solution","","解三角形，正弦定理、面积公式，属于解三角形。","2019-全国III卷-理科::18::occ1"
"平面向量与解三角形","39","2019","全国III卷-文科","13","1","fill_blank","","向量夹角余弦，属于平面向量。","2019-全国III卷-文科::13::occ1"
"平面向量与解三角形","40","2019","全国III卷-文科","18","1","solution","","解三角形，正弦定理与面积，属于解三角形。","2019-全国III卷-文科::18::occ1"
"平面向量与解三角形","41","2019","全国II卷-理科","3","1","single_choice","","向量坐标运算与数量积，属于平面向量。","2019-全国II卷-理科::3::occ1"
"平面向量与解三角形","42","2019","全国II卷-理科","15","1","fill_blank","","利用余弦定理和面积公式求三角形面积，属于解三角形。","2019-全国II卷-理科::15::occ1"
"平面向量与解三角形","43","2019","全国II卷-文科","3","1","single_choice","","向量模的计算，核心是平面向量。","2019-全国II卷-文科::3::occ1"
"平面向量与解三角形","44","2019","全国II卷-文科","15","1","fill_blank","","利用正弦定理边角互化求角，属于解三角形。","2019-全国II卷-文科::15::occ1"
"平面向量与解三角形","45","2019","全国I卷-理科","7","1","single_choice","","向量垂直与夹角计算，核心是平面向量。","2019-全国I卷-理科::7::occ1"
"平面向量与解三角形","46","2019","全国I卷-理科","17","1","solution","","利用正弦定理和三角恒等变换解三角形。","2019-全国I卷-理科::17::occ1"
"平面向量与解三角形","47","2019","全国I卷-文科","8","1","single_choice","","向量垂直与夹角计算，核心是平面向量。","2019-全国I卷-文科::8::occ1"
"平面向量与解三角形","48","2019","全国I卷-文科","11","1","single_choice","","利用正弦定理和余弦定理求边比，属于解三角形。","2019-全国I卷-文科::11::occ1"
"平面向量与解三角形","49","2020","全国III卷-理科","6","1","single_choice","","向量夹角余弦计算。","2020-全国III卷-理科::6::occ1"
"平面向量与解三角形","50","2020","全国III卷-理科","7","1","single_choice","","利用余弦定理解三角形。","2020-全国III卷-理科::7::occ1"
"平面向量与解三角形","51","2020","全国III卷-文科","11","1","single_choice","","利用余弦定理求正切值。","2020-全国III卷-文科::11::occ1"
"平面向量与解三角形","52","2020","全国II卷-理科","13","1","fill_blank","","向量垂直求参数。","2020-全国II卷-理科::13::occ1"
"平面向量与解三角形","53","2020","全国II卷-理科","17","1","solution","","主要利用正弦定理、余弦定理求解三角形边角关系及周长最值。","2020-全国II卷-理科::17::occ1"
"平面向量与解三角形","54","2020","全国II卷-文科","5","1","single_choice","","向量垂直的坐标运算，属于平面向量。","2020-全国II卷-文科::5::occ1"
"平面向量与解三角形","55","2020","全国II卷-文科","17","1","solution","","核心是解三角形，求角和证明直角三角形。","2020-全国II卷-文科::17::occ1"
"平面向量与解三角形","56","2020","全国I卷-理科","14","1","fill_blank","","核心是平面向量模长运算。","2020-全国I卷-理科::14::occ1"
"平面向量与解三角形","57","2020","全国I卷-文科","14","1","fill_blank","","核心是向量垂直的坐标运算。","2020-全国I卷-文科::14::occ1"
"平面向量与解三角形","58","2020","全国I卷-文科","18","1","solution","","核心是解三角形，求面积和角。","2020-全国I卷-文科::18::occ1"
"平面向量与解三角形","59","2021","北京卷","13","1","fill_blank","","核心是平面向量数量积运算。","2021-北京卷::13::occ1"
"平面向量与解三角形","60","2021","北京卷","16","1","solution","","核心是解三角形，求角和边长。","2021-北京卷::16::occ1"
"平面向量与解三角形","61","2021","全国甲卷-理科","8","1","single_choice","","利用正弦定理、余弦定理解三角形，属于解三角形。","2021-全国甲卷-理科::8::occ1"
"平面向量与解三角形","62","2021","全国甲卷-理科","14","1","fill_blank","","向量垂直的坐标运算，属于平面向量。","2021-全国甲卷-理科::14::occ1"
"平面向量与解三角形","63","2021","全国甲卷-文科","8","1","single_choice","","已知两边及一角解三角形，属于解三角形。","2021-全国甲卷-文科::8::occ1"
"平面向量与解三角形","64","2021","全国甲卷-文科","13","1","fill_blank","","向量模长计算，属于平面向量。","2021-全国甲卷-文科::13::occ1"
"平面向量与解三角形","65","2021","全国乙卷-理科","9","1","single_choice","","利用相似三角形测高，属于解三角形。","2021-全国乙卷-理科::9::occ1"
"平面向量与解三角形","66","2021","全国乙卷-理科","14","1","fill_blank","","向量垂直的坐标运算，属于平面向量。","2021-全国乙卷-理科::14::occ1"
"平面向量与解三角形","67","2021","全国乙卷-理科","15","1","fill_blank","","解三角形，利用余弦定理求边，属于解三角形。","2021-全国乙卷-理科::15::occ1"
"平面向量与解三角形","68","2021","全国乙卷-文科","13","1","fill_blank","","向量共线的坐标运算，属于平面向量。","2021-全国乙卷-文科::13::occ1"
"平面向量与解三角形","69","2021","全国乙卷-文科","15","1","fill_blank","","解三角形求边，主类为解三角形。","2021-全国乙卷-文科::15::occ1"
"平面向量与解三角形","70","2021","上海春季卷","16","1","single_choice","","向量共线、垂直判断，主类为平面向量。","2021-上海春季卷::16::occ1"
"平面向量与解三角形","71","2021","上海春季卷","18","1","solution","","解三角形求边，主类为解三角形。","2021-上海春季卷::18::occ1"
"平面向量与解三角形","72","2021","上海卷","4","1","fill_blank","","向量数量积计算，主类为平面向量。","2021-上海卷::4::occ1"
"平面向量与解三角形","73","2021","上海卷","18","1","solution","","解三角形求面积和周长，主类为解三角形。","2021-上海卷::18::occ1"
"平面向量与解三角形","74","2021","天津卷","15","1","fill_blank","","向量模长和数量积最值，主类为平面向量。","2021-天津卷::15::occ1"
"平面向量与解三角形","75","2021","天津卷","16","1","solution","","解三角形求边、角及三角函数值，主类为解三角形。","2021-天津卷::16::occ1"
"平面向量与解三角形","76","2021","新高考II卷","15","1","fill_blank","","核心是向量数量积运算，属于平面向量问题。","2021-新高考II卷::15::occ1"
"平面向量与解三角形","77","2021","新高考II卷","18","1","solution","","核心是正弦定理、余弦定理与三角形面积、形状判断，属于解三角形问题。","2021-新高考II卷::18::occ1"
"平面向量与解三角形","78","2021","新高考I卷","10","1","multiple_choice","","核心是向量模长与数量积运算，属于平面向量问题。","2021-新高考I卷::10::occ1"
"平面向量与解三角形","79","2021","新高考I卷","19","1","solution","","核心是解三角形与边角关系证明，属于解三角形问题。","2021-新高考I卷::19::occ1"
"平面向量与解三角形","80","2021","浙江卷","14","1","fill_blank","","核心是解三角形求边长与余弦值，属于解三角形问题。","2021-浙江卷::14::occ1"
"平面向量与解三角形","81","2021","浙江卷","17","1","fill_blank","","核心是向量投影与最值，属于平面向量问题。","2021-浙江卷::17::occ1"
"平面向量与解三角形","82","2022","北京卷","10","1","single_choice","","核心是向量数量积与几何最值，属于平面向量问题。","2022-北京卷::10::occ1"
"平面向量与解三角形","83","2022","北京卷","16","1","solution","","核心是解三角形求角与周长，属于解三角形问题。","2022-北京卷::16::occ1"
"平面向量与解三角形","84","2022","全国甲卷-理科","13","1","fill_blank","","向量数量积运算","2022-全国甲卷-理科::13::occ1"
"平面向量与解三角形","85","2022","全国甲卷-理科","16","1","fill_blank","","解三角形求最值","2022-全国甲卷-理科::16::occ1"
"平面向量与解三角形","86","2022","全国甲卷-文科","13","1","fill_blank","","向量垂直的坐标运算","2022-全国甲卷-文科::13::occ1"
"平面向量与解三角形","87","2022","全国甲卷-文科","16","1","fill_blank","","解三角形求最值","2022-全国甲卷-文科::16::occ1"
"平面向量与解三角形","88","2022","全国乙卷-理科","3","1","single_choice","","向量数量积","2022-全国乙卷-理科::3::occ1"
"平面向量与解三角形","89","2022","全国乙卷-理科","17","1","solution","","解三角形","2022-全国乙卷-理科::17::occ1"
"平面向量与解三角形","90","2022","全国乙卷-文科","3","1","single_choice","","向量模运算","2022-全国乙卷-文科::3::occ1"
"平面向量与解三角形","91","2022","全国乙卷-文科","17","1","solution","","解三角形，利用正弦定理、余弦定理证明边的关系。","2022-全国乙卷-文科::17::occ1"
"平面向量与解三角形","92","2022","上海卷","10","1","fill_blank","","向量数量积求模长，核心是向量运算。","2022-上海卷::10::occ1"
"平面向量与解三角形","93","2022","天津卷","14","1","fill_blank","","向量表示、垂直求角最值，核心是向量与解三角形。","2022-天津卷::14::occ1"
"平面向量与解三角形","94","2022","天津卷","16","1","solution","","解三角形问题，使用正弦定理、余弦定理求边和角。","2022-天津卷::16::occ1"
"平面向量与解三角形","95","2022","新高考II卷","4","1","single_choice","","向量夹角相等求参数，核心是向量数量积。","2022-新高考II卷::4::occ1"
"平面向量与解三角形","96","2022","新高考II卷","18","1","solution","","解三角形，面积公式、正弦定理，核心是解三角形。","2022-新高考II卷::18::occ1"
"平面向量与解三角形","97","2022","新高考I卷","3","1","single_choice","","平面向量线性运算表示向量，核心是向量运算。","2022-新高考I卷::3::occ1"
"平面向量与解三角形","98","2022","新高考I卷","18","1","solution","","解三角形求角及最值，主类为解三角形。","2022-新高考I卷::18::occ1"
"平面向量与解三角形","99","2022","浙江卷","11","1","fill_blank","","三角形面积公式应用，主类为解三角形。","2022-浙江卷::11::occ1"
"平面向量与解三角形","100","2022","浙江卷","17","1","fill_blank","","向量模长平方和的范围，主类为平面向量。","2022-浙江卷::17::occ1"
"平面向量与解三角形","101","2022","浙江卷","18","1","solution","","解三角形求正弦和面积，主类为解三角形。","2022-浙江卷::18::occ1"
"平面向量与解三角形","102","2023","北京卷","3","1","single_choice","","向量模长平方差，主类为平面向量。","2023-北京卷::3::occ1"
"平面向量与解三角形","103","2023","北京卷","7","1","single_choice","","解三角形求角，主类为解三角形。","2023-北京卷::7::occ1"
"平面向量与解三角形","104","2023","全国甲卷-理科","4","1","single_choice","","向量数量积和夹角计算，主类为平面向量与解三角形。","2023-全国甲卷-理科::4::occ1"
"平面向量与解三角形","105","2023","全国甲卷-理科","16","1","fill_blank","","解三角形求角平分线长，主类为解三角形。","2023-全国甲卷-理科::16::occ1"
"平面向量与解三角形","106","2023","全国甲卷-文科","3","1","single_choice","","向量数量积和夹角余弦，核心是平面向量。","2023-全国甲卷-文科::3::occ1"
"平面向量与解三角形","107","2023","全国甲卷-文科","17","1","solution","","解三角形求边和面积，核心是正弦定理和余弦定理。","2023-全国甲卷-文科::17::occ1"
"平面向量与解三角形","108","2023","全国乙卷-理科","12","1","single_choice","","向量数量积最值，核心是平面向量。","2023-全国乙卷-理科::12::occ1"
"平面向量与解三角形","109","2023","全国乙卷-理科","18","1","solution","","解三角形求正弦和面积，核心是正弦定理和余弦定理。","2023-全国乙卷-理科::18::occ1"
"平面向量与解三角形","110","2023","全国乙卷-文科","4","1","single_choice","","解三角形求角，核心是正弦定理。","2023-全国乙卷-文科::4::occ1"
"平面向量与解三角形","111","2023","全国乙卷-文科","6","1","single_choice","","向量数量积计算，核心是平面向量。","2023-全国乙卷-文科::6::occ1"
"平面向量与解三角形","112","2023","上海卷","7","1","fill_blank","","三角形面积求角，核心是解三角形。","2023-上海卷::7::occ1"
"平面向量与解三角形","113","2023","上海卷","8","1","fill_blank","","解三角形求边，核心是余弦定理。","2023-上海卷::8::occ1"
"平面向量与解三角形","114","2023","天津卷","14","1","fill_blank","","核心是向量线性表示和数量积最值，属于平面向量。","2023-天津卷::14::occ1"
"平面向量与解三角形","115","2023","天津卷","16","1","solution","","核心是解三角形，利用正弦定理、余弦定理求边角。","2023-天津卷::16::occ1"
"平面向量与解三角形","116","2023","新高考II卷","13","1","fill_blank","","核心是向量模长运算，属于平面向量。","2023-新高考II卷::13::occ1"
"平面向量与解三角形","117","2023","新高考II卷","17","1","solution","","核心是解三角形，利用正弦定理、余弦定理及面积公式。","2023-新高考II卷::17::occ1"
"平面向量与解三角形","118","2023","新高考I卷","3","1","single_choice","","核心是向量垂直的坐标运算，属于平面向量。","2023-新高考I卷::3::occ1"
"平面向量与解三角形","119","2023","新高考I卷","17","1","solution","","核心是解三角形，利用正弦定理、余弦定理求边角。","2023-新高考I卷::17::occ1"
"平面向量与解三角形","120","2024","北京卷","16","1","solution","","题目涉及解三角形求角与面积，核心是解三角形。","2024-北京卷::16::occ1"
"平面向量与解三角形","121","2024","全国甲卷-理科","9","1","multiple_choice","集合与逻辑","题目涉及向量垂直和平行的条件，以及充分必要条件的判断，主类为向量。","2024-全国甲卷-理科::9::occ1"
"平面向量与解三角形","122","2024","全国甲卷-理科","11","1","single_choice","","题目涉及正弦定理、余弦定理在解三角形中的应用，核心是解三角形。","2024-全国甲卷-理科::11::occ1"
"平面向量与解三角形","123","2024","全国甲卷-文科","11","1","single_choice","","题目涉及正弦定理、余弦定理解三角形，核心是解三角形。","2024-全国甲卷-文科::11::occ1"
"平面向量与解三角形","124","2024","上海卷","5","1","fill_blank","","题目涉及向量平行的坐标条件，核心是平面向量。","2024-上海卷::5::occ1"
"平面向量与解三角形","125","2024","上海卷","11","1","fill_blank","","题目涉及解三角形中的角度计算，核心是解三角形。","2024-上海卷::11::occ1"
"平面向量与解三角形","126","2024","上海卷","15","1","single_choice","","题目涉及空间向量线性相关，核心是向量。","2024-上海卷::15::occ1"
"平面向量与解三角形","127","2024","天津卷","14","1","fill_blank","","核心是平面向量的线性表示和数量积","2024-天津卷::14::occ1"
"平面向量与解三角形","128","2024","天津卷","16","1","solution","","核心是解三角形，求边、角及三角恒等变换","2024-天津卷::16::occ1"
"平面向量与解三角形","129","2024","新高考II卷","3","1","single_choice","","核心是平面向量的模和垂直","2024-新高考II卷::3::occ1"
"平面向量与解三角形","130","2024","新高考II卷","15","1","solution","","核心是解三角形，求角、边和周长","2024-新高考II卷::15::occ1"
"平面向量与解三角形","131","2024","新高考I卷","3","1","single_choice","","核心是平面向量的垂直和坐标运算","2024-新高考I卷::3::occ1"
"平面向量与解三角形","132","2024","新高考I卷","15","1","solution","","核心是解三角形，求角和边","2024-新高考I卷::15::occ1"
"平面向量与解三角形","133","2025","全国II卷","5","1","single_choice","","核心是解三角形，求角","2025-全国II卷::5::occ1"
"平面向量与解三角形","134","2025","全国II卷","12","1","fill_blank","","核心是平面向量的垂直和模","2025-全国II卷::12::occ1"
"平面向量与解三角形","135","2025","全国I卷","6","1","single_choice","","向量加法应用，属于平面向量。","2025-全国I卷::6::occ1"
"平面向量与解三角形","136","2025","上海卷","12","1","fill_blank","","向量数量积和模的取值范围，属于平面向量。","2025-上海卷::12::occ1"
"平面向量与解三角形","137","2025","天津卷","14","1","fill_blank","","向量线性表示和数量积，属于平面向量。","2025-天津卷::14::occ1"
"平面向量与解三角形","138","2025","天津卷","16","1","solution","","解三角形，求角、边和三角函数值，属于解三角形。","2025-天津卷::16::occ1"
