"Topic","CollectionNumber","Year","Paper","OriginalQuestion","Occurrence","Type","SecondaryTopics","Reason","Id"
"复数","1","2016","全国III卷-理科","2","1","single_choice","","复数运算，核心是复数。","2016-全国III卷-理科::2::occ1"
"复数","2","2016","全国III卷-文科","2","1","single_choice","","复数模与共轭运算，核心是复数。","2016-全国III卷-文科::2::occ1"
"复数","3","2016","全国II卷-理科","1","1","single_choice","","复数在复平面内对应点象限，核心是复数。","2016-全国II卷-理科::1::occ1"
"复数","4","2016","全国II卷-文科","2","1","single_choice","","复数运算与共轭，核心是复数。","2016-全国II卷-文科::2::occ1"
"复数","5","2016","全国I卷-理科","2","1","single_choice","","复数相等及模长计算，核心是复数。","2016-全国I卷-理科::2::occ1"
"复数","6","2016","全国I卷-文科","2","1","single_choice","","复数运算及实部虚部相等，核心是复数。","2016-全国I卷-文科::2::occ1"
"复数","7","2017","全国III卷-理科","2","1","single_choice","","复数运算及模长，核心是复数。","2017-全国III卷-理科::2::occ1"
"复数","8","2017","全国III卷-文科","2","1","single_choice","","核心是复数运算及几何意义，属于复数。","2017-全国III卷-文科::2::occ1"
"复数","9","2017","全国II卷-理科","1","1","single_choice","","核心是复数除法运算，属于复数。","2017-全国II卷-理科::1::occ1"
"复数","10","2017","全国II卷-文科","2","1","single_choice","","核心是复数乘法运算，属于复数。","2017-全国II卷-文科::2::occ1"
"复数","11","2017","全国I卷-理科","3","1","single_choice","","核心是复数命题判断，属于复数。","2017-全国I卷-理科::3::occ1"
"复数","12","2017","全国I卷-文科","3","1","single_choice","","复数运算判断纯虚数，属于复数。","2017-全国I卷-文科::3::occ1"
"复数","13","2018","全国III卷-理科","2","1","single_choice","","复数乘法运算，属于复数专题。","2018-全国III卷-理科::2::occ1"
"复数","14","2018","全国III卷-文科","2","1","single_choice","","复数乘法运算，属于复数。","2018-全国III卷-文科::2::occ1"
"复数","15","2018","全国II卷-理科","1","1","single_choice","","核心是复数除法运算。","2018-全国II卷-理科::1::occ1"
"复数","16","2018","全国II卷-文科","1","1","single_choice","","核心是复数乘法运算。","2018-全国II卷-文科::1::occ1"
"复数","17","2018","全国I卷-理科","1","1","single_choice","","核心是复数运算求模。","2018-全国I卷-理科::1::occ1"
"复数","18","2018","全国I卷-文科","2","1","single_choice","","核心是复数运算求模。","2018-全国I卷-文科::2::occ1"
"复数","19","2019","全国III卷-理科","2","1","single_choice","","复数的除法运算，属于复数专题。","2019-全国III卷-理科::2::occ1"
"复数","20","2019","全国III卷-文科","2","1","single_choice","","复数除法运算，属于复数。","2019-全国III卷-文科::2::occ1"
"复数","21","2019","全国II卷-理科","2","1","single_choice","","复数共轭与几何意义，属于复数。","2019-全国II卷-理科::2::occ1"
"复数","22","2019","全国II卷-文科","2","1","single_choice","","复数乘法及共轭，主类复数。","2019-全国II卷-文科::2::occ1"
"复数","23","2019","全国I卷-理科","2","1","single_choice","","复数模的几何意义，主类复数。","2019-全国I卷-理科::2::occ1"
"复数","24","2019","全国I卷-文科","1","1","single_choice","","复数模的计算，主类为复数。","2019-全国I卷-文科::1::occ1"
"复数","25","2020","全国III卷-理科","2","1","single_choice","","复数除法求虚部，主类复数。","2020-全国III卷-理科::2::occ1"
"复数","26","2020","全国III卷-文科","2","1","single_choice","","复数除法运算。","2020-全国III卷-文科::2::occ1"
"复数","27","2020","全国II卷-理科","15","1","fill_blank","","复数模的计算。","2020-全国II卷-理科::15::occ1"
"复数","28","2020","全国II卷-文科","2","1","single_choice","","复数运算。","2020-全国II卷-文科::2::occ1"
"复数","29","2020","全国I卷-理科","1","1","single_choice","","核心是复数模的计算。","2020-全国I卷-理科::1::occ1"
"复数","30","2020","全国I卷-文科","2","1","single_choice","","核心是复数模的计算。","2020-全国I卷-文科::2::occ1"
"复数","31","2021","北京卷","2","1","single_choice","","核心是复数运算求z。","2021-北京卷::2::occ1"
"复数","32","2021","全国甲卷-理科","3","1","single_choice","","核心是复数运算求z。","2021-全国甲卷-理科::3::occ1"
