"Topic","CollectionNumber","Year","Paper","OriginalQuestion","Occurrence","Type","SecondaryTopics","Reason","Id"
"数列","1","2016","全国III卷-理科","17","1","solution","","由前n项和求通项，证明等比数列，核心是数列。","2016-全国III卷-理科::17::occ1"
"数列","2","2016","全国III卷-文科","17","1","solution","","已知递推关系求数列通项，核心是数列的递推与通项公式。","2016-全国III卷-文科::17::occ1"
"数列","3","2016","全国II卷-理科","17","1","solution","","等差数列通项及取整函数求和，核心是数列。","2016-全国II卷-理科::17::occ1"
"数列","4","2016","全国II卷-文科","17","1","solution","","等差数列通项及取整函数求和，核心是数列。","2016-全国II卷-文科::17::occ1"
"数列","5","2016","全国I卷-理科","3","1","single_choice","","等差数列基本量计算，核心是数列。","2016-全国I卷-理科::3::occ1"
"数列","6","2016","全国I卷-理科","15","1","fill_blank","","等比数列通项及前n项积的最值，核心是数列。","2016-全国I卷-理科::15::occ1"
"数列","7","2016","全国I卷-文科","17","1","solution","","等差数列通项及等比数列求和，核心是数列。","2016-全国I卷-文科::17::occ1"
"数列","8","2017","全国III卷-理科","9","1","single_choice","","等差数列与等比数列综合，核心是数列。","2017-全国III卷-理科::9::occ1"
"数列","9","2017","全国III卷-理科","14","1","fill_blank","","等比数列基本量计算，核心是数列。","2017-全国III卷-理科::14::occ1"
"数列","10","2017","全国III卷-文科","17","1","solution","","核心是数列通项与求和，属于数列。","2017-全国III卷-文科::17::occ1"
"数列","11","2017","全国II卷-理科","3","1","single_choice","","核心是等比数列求和，属于数列。","2017-全国II卷-理科::3::occ1"
"数列","12","2017","全国II卷-理科","15","1","fill_blank","","核心是等差数列求和及裂项相消法，属于数列。","2017-全国II卷-理科::15::occ1"
"数列","13","2017","全国II卷-文科","17","1","solution","","核心是等差等比数列通项与求和，属于数列。","2017-全国II卷-文科::17::occ1"
"数列","14","2017","全国I卷-理科","4","1","single_choice","","核心是等差数列通项与求和，属于数列基础。","2017-全国I卷-理科::4::occ1"
"数列","15","2017","全国I卷-理科","12","1","single_choice","","数列求和及整数幂问题，核心是数列。","2017-全国I卷-理科::12::occ1"
"数列","16","2017","全国I卷-文科","17","1","solution","","等比数列通项及求和，属于数列。","2017-全国I卷-文科::17::occ1"
"数列","17","2018","全国III卷-理科","17","1","solution","","等比数列通项及求和，属于数列。","2018-全国III卷-理科::17::occ1"
"数列","18","2018","全国III卷-文科","17","1","solution","","核心是等比数列通项及求和。","2018-全国III卷-文科::17::occ1"
"数列","19","2018","全国II卷-理科","7","1","single_choice","","核心是程序框图与数列求和，但主要考查循环结构，归为数列。","2018-全国II卷-理科::7::occ1"
"数列","20","2018","全国II卷-理科","17","1","solution","","核心是等差数列通项及前n项和最小值。","2018-全国II卷-理科::17::occ1"
"数列","21","2018","全国II卷-文科","8","1","single_choice","","核心是程序框图与数列求和，主要考查循环结构，归为数列。","2018-全国II卷-文科::8::occ1"
"数列","22","2018","全国II卷-文科","17","1","solution","","核心是等差数列通项及前n项和最小值。","2018-全国II卷-文科::17::occ1"
"数列","23","2018","全国I卷-理科","4","1","single_choice","","核心是等差数列通项及前n项和。","2018-全国I卷-理科::4::occ1"
"数列","24","2018","全国I卷-理科","14","1","fill_blank","","核心是已知Sn与an关系求通项及和。","2018-全国I卷-理科::14::occ1"
"数列","25","2018","全国I卷-文科","17","1","solution","","递推数列与等比数列，属于数列专题。","2018-全国I卷-文科::17::occ1"
"数列","26","2019","全国III卷-理科","5","1","single_choice","","等比数列的通项与求和，属于数列专题。","2019-全国III卷-理科::5::occ1"
"数列","27","2019","全国III卷-理科","9","1","single_choice","","程序框图与数列求和，核心是数列求和。","2019-全国III卷-理科::9::occ1"
"数列","28","2019","全国III卷-理科","14","1","fill_blank","","等差数列求和比值，属于数列。","2019-全国III卷-理科::14::occ1"
"数列","29","2019","全国III卷-文科","6","1","single_choice","","等比数列通项与求和，属于数列。","2019-全国III卷-文科::6::occ1"
"数列","30","2019","全国III卷-文科","9","1","single_choice","","程序框图与数列求和，核心是数列求和。","2019-全国III卷-文科::9::occ1"
"数列","31","2019","全国III卷-文科","14","1","fill_blank","","等差数列求和，属于数列。","2019-全国III卷-文科::14::occ1"
"数列","32","2019","全国II卷-理科","19","1","solution","","递推数列证明等比等差并求通项，核心是数列。","2019-全国II卷-理科::19::occ1"
"数列","33","2019","全国II卷-文科","18","1","solution","","等比数列通项及对数求和，核心是数列。","2019-全国II卷-文科::18::occ1"
"数列","34","2019","全国I卷-理科","9","1","single_choice","","等差数列通项与求和，核心是数列。","2019-全国I卷-理科::9::occ1"
"数列","35","2019","全国I卷-理科","14","1","fill_blank","","等比数列求和，核心是数列。","2019-全国I卷-理科::14::occ1"
"数列","36","2019","全国I卷-文科","14","1","fill_blank","","等比数列求和，核心是数列。","2019-全国I卷-文科::14::occ1"
"数列","37","2019","全国I卷-文科","18","1","solution","","等差数列通项及求和不等式，核心是数列。","2019-全国I卷-文科::18::occ1"
"数列","38","2020","全国III卷-理科","17","1","solution","","核心是数列通项公式的猜想与证明，以及数列求和。","2020-全国III卷-理科::17::occ1"
"数列","39","2020","全国III卷-文科","17","1","solution","","等比数列通项及等差数列求和。","2020-全国III卷-文科::17::occ1"
"数列","40","2020","全国II卷-理科","4","1","single_choice","","等差数列求和问题，核心是数列。","2020-全国II卷-理科::4::occ1"
"数列","41","2020","全国II卷-理科","6","1","single_choice","","等比数列性质及求和。","2020-全国II卷-理科::6::occ1"
"数列","42","2020","全国II卷-理科","12","1","single_choice","计数原理","周期序列指标计算，涉及数列和计数。","2020-全国II卷-理科::12::occ1"
"数列","43","2020","全国II卷-文科","6","1","single_choice","","等比数列求和公式。","2020-全国II卷-文科::6::occ1"
"数列","44","2020","全国II卷-文科","14","1","fill_blank","","核心是等差数列求和，求前n项和。","2020-全国II卷-文科::14::occ1"
"数列","45","2020","全国I卷-理科","17","1","solution","","核心是等比数列通项和错位相减法求和。","2020-全国I卷-理科::17::occ1"
"数列","46","2020","全国I卷-文科","9","1","single_choice","","核心是程序框图，实质是数列求和求n。","2020-全国I卷-文科::9::occ1"
"数列","47","2020","全国I卷-文科","10","1","single_choice","","核心是等比数列通项和求和。","2020-全国I卷-文科::10::occ1"
"数列","48","2020","全国I卷-文科","16","1","fill_blank","","核心是递推数列求和求首项。","2020-全国I卷-文科::16::occ1"
"数列","49","2021","北京卷","6","1","single_choice","","核心是等差数列通项和性质，求项值。","2021-北京卷::6::occ1"
"数列","50","2021","北京卷","10","1","single_choice","","核心是递增整数数列求和，求n最大值。","2021-北京卷::10::occ1"
"数列","51","2021","北京卷","21","1","solution","","核心是数列新定义，求通项和求和。","2021-北京卷::21::occ1"
"数列","52","2021","全国甲卷-理科","7","1","single_choice","集合与逻辑","等比数列前n项和单调性与充分必要条件，主类为数列。","2021-全国甲卷-理科::7::occ1"
"数列","53","2021","全国甲卷-理科","18","1","solution","","等差数列的证明，属于数列。","2021-全国甲卷-理科::18::occ1"
"数列","54","2021","全国甲卷-文科","9","1","single_choice","","等比数列前n项和性质，属于数列。","2021-全国甲卷-文科::9::occ1"
"数列","55","2021","全国甲卷-文科","18","1","solution","","等差数列的证明，属于数列。","2021-全国甲卷-文科::18::occ1"
"数列","56","2021","全国乙卷-理科","19","1","solution","","等差数列证明及通项公式，属于数列。","2021-全国乙卷-理科::19::occ1"
"数列","57","2021","全国乙卷-文科","19","1","solution","","等比数列通项及求和不等式证明，主类为数列。","2021-全国乙卷-文科::19::occ1"
"数列","58","2021","上海春季卷","1","1","fill_blank","","等差数列通项，主类为数列。","2021-上海春季卷::1::occ1"
"数列","59","2021","上海春季卷","9","1","fill_blank","","无穷等比数列极限，主类为数列。","2021-上海春季卷::9::occ1"
"数列","60","2021","上海春季卷","21","1","solution","","数列递推关系、等比数列证明及最值，主类为数列。","2021-上海春季卷::21::occ1"
"数列","61","2021","上海卷","8","1","fill_blank","","无穷等比数列求和，主类为数列。","2021-上海卷::8::occ1"
"数列","62","2021","上海卷","12","1","fill_blank","","数列递推关系求最值，主类为数列。","2021-上海卷::12::occ1"
"数列","63","2021","上海卷","19","1","solution","","营业额和利润的数列模型求和与比较，主类为数列。","2021-上海卷::19::occ1"
"数列","64","2021","天津卷","19","1","solution","","等差等比数列通项、等比数列证明及不等式，主类为数列。","2021-天津卷::19::occ1"
"数列","65","2021","新高考II卷","12","1","multiple_choice","","核心是二进制表示与数列性质，属于数列综合问题。","2021-新高考II卷::12::occ1"
"数列","66","2021","新高考II卷","17","1","solution","","核心是等差数列通项与求和，属于数列问题。","2021-新高考II卷::17::occ1"
"数列","67","2021","新高考I卷","16","1","fill_blank","","核心是数列求和与规律探索，属于数列应用问题。","2021-新高考I卷::16::occ1"
"数列","68","2021","新高考I卷","17","1","solution","","核心是递推数列求通项与求和，属于数列问题。","2021-新高考I卷::17::occ1"
"数列","69","2021","浙江卷","10","1","single_choice","","核心是递推数列与求和范围估计，属于数列综合问题。","2021-浙江卷::10::occ1"
"数列","70","2021","浙江卷","20","1","solution","","核心是递推数列求通项与恒成立问题，属于数列综合问题。","2021-浙江卷::20::occ1"
"数列","71","2022","北京卷","15","1","fill_blank","","核心是数列递推与性质判断，属于数列综合问题。","2022-北京卷::15::occ1"
"数列","72","2022","北京卷","21","1","solution","","核心是数列新定义与性质证明，属于数列综合问题。","2022-北京卷::21::occ1"
"数列","73","2022","全国甲卷-理科","17","1","solution","","等差数列证明与求和","2022-全国甲卷-理科::17::occ1"
"数列","74","2022","全国甲卷-文科","18","1","solution","","等差数列证明与求和","2022-全国甲卷-文科::18::occ1"
"数列","75","2022","全国乙卷-理科","4","1","single_choice","","连分数数列比较","2022-全国乙卷-理科::4::occ1"
"数列","76","2022","全国乙卷-理科","6","1","single_choice","","程序框图涉及数列递推","2022-全国乙卷-理科::6::occ1"
"数列","77","2022","全国乙卷-理科","8","1","single_choice","","等比数列基本量计算","2022-全国乙卷-理科::8::occ1"
"数列","78","2022","全国乙卷-文科","7","1","single_choice","","程序框图涉及数列","2022-全国乙卷-文科::7::occ1"
"数列","79","2022","全国乙卷-文科","10","1","single_choice","","等比数列基本量","2022-全国乙卷-文科::10::occ1"
"数列","80","2022","全国乙卷-文科","13","1","fill_blank","","等差数列基本量计算","2022-全国乙卷-文科::13::occ1"
"数列","81","2022","上海卷","5","2","solution","","数列递推、等差数列、通项公式，核心是数列。","2022-上海卷::5::occ2"
"数列","82","2022","上海卷","9","1","fill_blank","","等差数列前n项和性质，求不同数值个数，核心是数列。","2022-上海卷::9::occ1"
"数列","83","2022","天津卷","18","1","solution","","等差等比数列通项、求和、证明，核心是数列。","2022-天津卷::18::occ1"
"数列","84","2022","新高考II卷","3","1","single_choice","","等差数列应用，求项的值，核心是等差数列。","2022-新高考II卷::3::occ1"
"数列","85","2022","新高考II卷","17","1","solution","","等差等比数列综合，求集合元素个数，核心是数列。","2022-新高考II卷::17::occ1"
"数列","86","2022","新高考I卷","17","1","solution","","等差数列定义求通项，并证明不等式，主类为数列。","2022-新高考I卷::17::occ1"
"数列","87","2022","浙江卷","10","1","single_choice","","核心是递推数列，研究数列项的范围，主类为数列。","2022-浙江卷::10::occ1"
"数列","88","2022","浙江卷","20","1","solution","","等差数列求和及等比数列条件求范围，主类为数列。","2022-浙江卷::20::occ1"
"数列","89","2023","北京卷","10","1","single_choice","","递推数列的单调性和有界性，主类为数列。","2023-北京卷::10::occ1"
"数列","90","2023","北京卷","14","1","fill_blank","","等差等比数列综合求项和和，主类为数列。","2023-北京卷::14::occ1"
"数列","91","2023","北京卷","21","1","solution","","数列新定义，涉及和与索引，主类为数列。","2023-北京卷::21::occ1"
"数列","92","2023","全国甲卷-理科","3","1","single_choice","","程序框图输出，实质是斐波那契数列，主类为数列。","2023-全国甲卷-理科::3::occ1"
"数列","93","2023","全国甲卷-理科","5","1","single_choice","","等比数列求和问题，主类为数列。","2023-全国甲卷-理科::5::occ1"
"数列","94","2023","全国甲卷-理科","17","1","solution","","由前n项和求通项，并求新数列和，主类为数列。","2023-全国甲卷-理科::17::occ1"
"数列","95","2023","全国甲卷-文科","5","1","single_choice","","等差数列求和，核心是数列。","2023-全国甲卷-文科::5::occ1"
"数列","96","2023","全国甲卷-文科","6","1","single_choice","","程序框图输出数列项，核心是数列递推。","2023-全国甲卷-文科::6::occ1"
"数列","97","2023","全国甲卷-文科","13","1","fill_blank","","等比数列前n项和求公比，核心是数列。","2023-全国甲卷-文科::13::occ1"
"数列","98","2023","全国乙卷-理科","10","1","single_choice","","等差数列与三角函数结合，核心是数列。","2023-全国乙卷-理科::10::occ1"
"数列","99","2023","全国乙卷-理科","15","1","fill_blank","","等比数列求项，核心是数列。","2023-全国乙卷-理科::15::occ1"
"数列","100","2023","全国乙卷-文科","18","1","solution","","等差数列通项和绝对值求和，核心是数列。","2023-全国乙卷-文科::18::occ1"
"数列","101","2023","上海卷","3","1","fill_blank","","等比数列求项，核心是数列。","2023-上海卷::3::occ1"
"数列","102","2023","天津卷","6","1","single_choice","","核心是等比数列通项与前n项和关系，属于数列。","2023-天津卷::6::occ1"
"数列","103","2023","天津卷","19","1","solution","","核心是等差数列、等比数列通项与求和，属于数列。","2023-天津卷::19::occ1"
"数列","104","2023","新高考II卷","8","1","single_choice","","核心是等比数列前n项和性质，属于数列。","2023-新高考II卷::8::occ1"
"数列","105","2023","新高考II卷","18","1","solution","","核心是等差数列通项、数列求和与不等式证明，属于数列。","2023-新高考II卷::18::occ1"
"数列","106","2023","新高考I卷","20","1","solution","","核心是等差数列、新数列求和，属于数列。","2023-新高考I卷::20::occ1"
"数列","107","2024","北京卷","14","1","fill_blank","立体几何","题目涉及等比数列与圆柱体积，主类为数列，次类为立体几何。","2024-北京卷::14::occ1"
"数列","108","2024","北京卷","15","1","fill_blank","","题目涉及等差数列、等比数列的交点个数，核心是数列。","2024-北京卷::15::occ1"
"数列","109","2024","北京卷","21","1","solution","集合与逻辑","题目涉及数列变换和充要条件证明，主类为数列。","2024-北京卷::21::occ1"
"数列","110","2024","全国甲卷-理科","4","1","single_choice","","题目涉及等差数列的前n项和与项的关系，核心是等差数列。","2024-全国甲卷-理科::4::occ1"
"数列","111","2024","全国甲卷-理科","18","1","solution","","题目涉及数列通项与求和，核心是数列。","2024-全国甲卷-理科::18::occ1"
"数列","112","2024","全国甲卷-文科","4","1","single_choice","","题目涉及等差数列的前n项和与项的关系，核心是等差数列性质。","2024-全国甲卷-文科::4::occ1"
"数列","113","2024","全国甲卷-文科","15","1","solution","","题目涉及等比数列通项与前n项和，核心是数列。","2024-全国甲卷-文科::15::occ1"
"数列","114","2024","上海卷","12","1","fill_blank","","题目涉及无穷等比数列与区间，核心是数列。","2024-上海卷::12::occ1"
"数列","115","2024","天津卷","19","1","solution","","核心是等比数列求和及递推数列求和","2024-天津卷::19::occ1"
"数列","116","2024","新高考II卷","12","1","fill_blank","","核心是等差数列通项与前n项和的计算","2024-新高考II卷::12::occ1"
"数列","117","2024","新高考I卷","19","1","solution","统计与概率","核心是等差数列的可分性质及概率证明，主类为数列","2024-新高考I卷::19::occ1"
"数列","118","2025","全国II卷","7","1","single_choice","","核心是等差数列前n项和的计算","2025-全国II卷::7::occ1"
"数列","119","2025","全国II卷","9","1","multiple_choice","","核心是等比数列前n项和与通项公式的计算","2025-全国II卷::9::occ1"
"数列","120","2025","全国I卷","13","1","fill_blank","","等比数列前n项和求公比，属于数列。","2025-全国I卷::13::occ1"
"数列","121","2025","全国I卷","16","1","solution","导数","主专题为数列，因为核心是等差数列证明和数列求和；次专题为导数，因为涉及多项式求导。","2025-全国I卷::16::occ1"
"数列","122","2025","上海卷","3","1","fill_blank","","等差数列求和，属于数列。","2025-上海卷::3::occ1"
"数列","123","2025","上海卷","16","1","single_choice","平面向量与解三角形","主专题为数列，因为涉及数列通项和三角形边长条件；次专题为解三角形，因为三角形边长条件。","2025-上海卷::16::occ1"
"数列","124","2025","天津卷","6","1","single_choice","","已知前n项和求数列前12项和，属于数列求和。","2025-天津卷::6::occ1"
"数列","125","2025","天津卷","19","1","solution","计数原理","主专题为数列，因为涉及等差等比数列通项；次专题为计数原理，因为涉及集合元素求和。","2025-天津卷::19::occ1"
