"Topic","CollectionNumber","Year","Paper","OriginalQuestion","Occurrence","Type","SecondaryTopics","Reason","Id"
"计数原理","1","2016","全国III卷-理科","7","1","single_choice","","程序框图，循环结构，核心是算法，归为函数中的迭代。","2016-全国III卷-理科::7::occ1"
"计数原理","2","2016","全国III卷-理科","12","1","single_choice","","规范01数列的计数，核心是排列组合中的计数方法。","2016-全国III卷-理科::12::occ1"
"计数原理","3","2016","全国III卷-文科","8","1","single_choice","","程序框图，循环结构，核心是算法，但无对应专题，归为函数中的迭代思想。","2016-全国III卷-文科::8::occ1"
"计数原理","4","2016","全国II卷-理科","5","1","single_choice","","最短路径计数，核心是排列组合中的计数方法。","2016-全国II卷-理科::5::occ1"
"计数原理","5","2016","全国II卷-理科","8","1","single_choice","","程序框图实现秦九韶算法，核心是多项式求值，属于函数概念。","2016-全国II卷-理科::8::occ1"
"计数原理","6","2016","全国II卷-理科","15","1","fill_blank","","卡片数字推理，核心是计数原理中的组合与推理。","2016-全国II卷-理科::15::occ1"
"计数原理","7","2016","全国I卷-理科","14","1","fill_blank","","二项式定理求特定项系数，核心是计数原理。","2016-全国I卷-理科::14::occ1"
"计数原理","8","2017","全国III卷-理科","4","1","single_choice","","二项式定理求展开式系数，核心是计数原理。","2017-全国III卷-理科::4::occ1"
"计数原理","9","2017","全国II卷-理科","6","1","single_choice","","核心是排列组合分配问题，属于计数原理。","2017-全国II卷-理科::6::occ1"
"计数原理","10","2017","全国I卷-理科","6","1","single_choice","","二项展开式求系数，属于计数原理。","2017-全国I卷-理科::6::occ1"
"计数原理","11","2018","全国III卷-理科","5","1","single_choice","","求二项展开式中特定项的系数，核心是二项式定理，属于计数原理。","2018-全国III卷-理科::5::occ1"
"计数原理","12","2018","全国I卷-理科","15","1","fill_blank","","核心是组合计数，至少1位女生。","2018-全国I卷-理科::15::occ1"
"计数原理","13","2019","全国III卷-理科","4","1","single_choice","","二项式定理求系数，属于计数原理。","2019-全国III卷-理科::4::occ1"
"计数原理","14","2020","全国III卷-理科","14","1","fill_blank","","二项式展开常数项。","2020-全国III卷-理科::14::occ1"
"计数原理","15","2020","全国II卷-理科","14","1","fill_blank","","排列组合分配问题。","2020-全国II卷-理科::14::occ1"
"计数原理","16","2020","全国II卷-文科","3","1","single_choice","","计数问题，属于排列组合。","2020-全国II卷-文科::3::occ1"
"计数原理","17","2020","全国I卷-理科","8","1","single_choice","","核心是二项式定理求特定项系数。","2020-全国I卷-理科::8::occ1"
"计数原理","18","2021","北京卷","11","1","fill_blank","","核心是二项式定理求常数项。","2021-北京卷::11::occ1"
"计数原理","19","2021","全国乙卷-理科","6","1","single_choice","","排列组合分配问题，属于计数原理。","2021-全国乙卷-理科::6::occ1"
"计数原理","20","2021","上海春季卷","7","1","fill_blank","","二项式系数最大及系数和，主类为计数原理。","2021-上海春季卷::7::occ1"
"计数原理","21","2021","上海春季卷","10","1","fill_blank","","组合计数问题，主类为计数原理。","2021-上海春季卷::10::occ1"
"计数原理","22","2021","上海卷","6","1","fill_blank","","二项式定理求系数，主类为计数原理。","2021-上海卷::6::occ1"
"计数原理","23","2021","天津卷","11","1","fill_blank","","二项式展开求特定项系数，主类为计数原理。","2021-天津卷::11::occ1"
