"Topic","CollectionNumber","Year","Paper","OriginalQuestion","Occurrence","Type","SecondaryTopics","Reason","Id"
"统计与概率","1","2016","全国III卷-理科","4","1","single_choice","","雷达图数据分析，核心是统计图表。","2016-全国III卷-理科::4::occ1"
"统计与概率","2","2016","全国III卷-理科","18","1","solution","","线性回归模型拟合与预测，核心是统计中的回归分析。","2016-全国III卷-理科::18::occ1"
"统计与概率","3","2016","全国III卷-文科","4","1","single_choice","","雷达图数据分析，核心是统计图表。","2016-全国III卷-文科::4::occ1"
"统计与概率","4","2016","全国III卷-文科","5","1","single_choice","","古典概型求概率，核心是概率。","2016-全国III卷-文科::5::occ1"
"统计与概率","5","2016","全国III卷-文科","18","1","solution","","线性回归模型拟合与预测，核心是统计中的回归分析。","2016-全国III卷-文科::18::occ1"
"统计与概率","6","2016","全国II卷-理科","10","1","single_choice","","随机模拟求圆周率近似值，核心是概率中的几何概型。","2016-全国II卷-理科::10::occ1"
"统计与概率","7","2016","全国II卷-理科","18","1","solution","","概率计算与期望，核心是概率与统计。","2016-全国II卷-理科::18::occ1"
"统计与概率","8","2016","全国II卷-文科","8","1","single_choice","","几何概型求概率，核心是概率。","2016-全国II卷-文科::8::occ1"
"统计与概率","9","2016","全国II卷-文科","9","1","single_choice","","程序框图，秦九韶算法，核心是算法，归入统计与概率。","2016-全国II卷-文科::9::occ1"
"统计与概率","10","2016","全国II卷-文科","16","1","fill_blank","","逻辑推理与概率结合，核心是概率中的推理。","2016-全国II卷-文科::16::occ1"
"统计与概率","11","2016","全国II卷-文科","18","1","solution","","用频率估计概率，计算保费估计值，核心是统计与概率。","2016-全国II卷-文科::18::occ1"
"统计与概率","12","2016","全国I卷-理科","4","1","single_choice","","几何概型求概率，核心是概率。","2016-全国I卷-理科::4::occ1"
"统计与概率","13","2016","全国I卷-理科","9","1","single_choice","","程序框图，循环结构，核心是算法，归入统计与概率。","2016-全国I卷-理科::9::occ1"
"统计与概率","14","2016","全国I卷-理科","19","1","solution","","离散型随机变量分布列及期望决策，核心是概率统计。","2016-全国I卷-理科::19::occ1"
"统计与概率","15","2016","全国I卷-文科","3","1","single_choice","","古典概型求概率，核心是概率。","2016-全国I卷-文科::3::occ1"
"统计与概率","16","2016","全国I卷-文科","10","1","single_choice","","程序框图，循环结构，核心是算法，归入统计与概率。","2016-全国I卷-文科::10::occ1"
"统计与概率","17","2016","全国I卷-文科","19","1","solution","","统计决策问题，核心是统计与概率。","2016-全国I卷-文科::19::occ1"
"统计与概率","18","2017","全国III卷-理科","3","1","single_choice","","根据折线图分析数据，核心是统计。","2017-全国III卷-理科::3::occ1"
